name,category_id
noodles,1
frozen,2
frozen,2
chicken_duck,3
noodles,1
frozen,2
coffee,4
chicken_duck,3
beverages,5
frozen,2
frozen,2
beverages,5
rice,6
chicken_duck,3
noodles,1
rice,6
noodles,1
frozen,2
noodles,1
frozen,2
rice,6
frozen,2
beverages,5
rice,6
beverages,5
frozen,2
chicken_duck,3
beverages,5
frozen,2
noodles,1
chicken_duck,3
coffee,4
chicken_duck,3
coffee,4
noodles,1
coffee,4
chicken_duck,3
noodles,1
coffee,4
rice,6
chicken_duck,3
noodles,1
frozen,2
frozen,2
frozen,2
chicken_duck,3
coffee,4
frozen,2
chicken_duck,3
noodles,1
rice,6
rice,6
beverages,5
frozen,2
rice,6
rice,6
frozen,2
coffee,4
beverages,5
frozen,2
noodles,1
noodles,1
frozen,2
coffee,4
coffee,4
frozen,2
noodles,1
noodles,1
beverages,5
frozen,2
chicken_duck,3
beverages,5
noodles,1
chicken_duck,3
chicken_duck,3
frozen,2
chicken_duck,3
rice,6
coffee,4
chicken_duck,3
frozen,2
beverages,5
noodles,1
chicken_duck,3
rice,6
beverages,5
noodles,1
beverages,5
frozen,2
chicken_duck,3
beverages,5
beverages,5
frozen,2
beverages,5
chicken_duck,3
beverages,5
rice,6
frozen,2
chicken_duck,3
beverages,5
chicken_duck,3
frozen,2
chicken_duck,3
frozen,2
rice,6
noodles,1
chicken_duck,3
frozen,2
chicken_duck,3
frozen,2
coffee,4
frozen,2
chicken_duck,3
coffee,4
frozen,2
beverages,5
frozen,2
rice,6
frozen,2
frozen,2
rice,6
chicken_duck,3
beverages,5
chicken_duck,3
frozen,2
beverages,5
frozen,2
rice,6
noodles,1
coffee,4
coffee,4
beverages,5
rice,6
coffee,4
coffee,4
chicken_duck,3
coffee,4
rice,6
rice,6
frozen,2
frozen,2
rice,6
coffee,4
coffee,4
coffee,4
frozen,2
chicken_duck,3
chicken_duck,3
noodles,1
frozen,2
beverages,5
frozen,2
