cart_item_id,cart_id,product_id,order_amt
1,1,66,3
2,1,97,3
3,1,133,3
4,2,60,1
5,2,79,2
6,2,125,3
7,3,58,1
8,3,145,1
9,4,22,1
10,4,78,2
11,4,119,3
12,5,111,3
13,5,71,3
14,5,24,1
15,5,31,2
16,6,17,2
17,6,30,3
18,6,44,1
19,6,71,1
20,7,8,1
21,7,79,2
22,7,135,1
23,8,107,1
24,8,17,1
25,8,35,2
26,8,50,2
27,9,102,1
28,9,97,3
29,9,24,3
30,9,28,3
31,10,44,1
32,10,46,1
33,10,102,2
34,11,9,2
35,11,106,2
36,11,109,3
37,11,149,1
38,12,5,1
39,12,65,2
40,13,61,1
41,13,44,3
42,13,42,3
43,13,10,1
44,14,72,3
45,14,123,3
46,15,1,1
47,15,35,2
48,15,129,1
49,16,32,1
50,16,98,3
51,16,128,1
52,17,31,1
53,17,93,1
54,18,97,3
55,18,129,1
56,18,53,3
57,18,91,2
58,19,113,2
59,19,33,1
60,19,97,1
61,20,74,2
62,20,90,3
63,20,101,1
64,20,131,1
65,21,33,3
66,21,62,1
67,21,80,3
68,21,92,2
69,21,113,1
70,22,56,2
71,22,92,2
72,22,12,1
73,22,24,2
74,23,14,3
75,23,25,3
76,23,97,1
77,23,148,1
78,24,26,3
79,24,109,2
80,24,152,2
81,25,119,2
82,25,126,2
83,26,61,1
84,26,103,1
85,26,107,3
86,26,122,1
87,27,97,3
88,27,42,2
89,28,19,2
90,28,20,1
91,28,47,3
92,28,65,2
93,29,6,1
94,29,28,1
95,29,108,1
96,30,39,2
97,30,111,3
98,30,131,2
99,31,144,1
100,31,46,3
101,31,31,3
102,31,32,3
103,32,5,1
104,32,6,2
105,33,12,2
106,33,21,1
107,33,97,3
108,34,72,1
109,34,74,3
110,34,97,1
111,35,65,2
112,35,58,1
113,35,119,3
114,36,126,1
115,36,100,3
116,36,44,2
117,36,62,2
118,37,33,1
119,37,46,3
120,37,125,1
121,37,147,2
122,38,54,3
123,38,67,3
124,39,23,3
125,39,63,3
126,39,81,1
127,39,109,1
128,40,100,1
129,40,12,2
130,40,19,1
131,41,24,1
132,41,97,3
133,41,106,1
134,42,2,1
135,42,11,2
136,42,24,3
137,42,140,2
138,43,77,3
139,43,10,2
140,43,92,1
141,44,131,1
142,44,58,3
143,45,127,1
144,45,113,2
145,45,33,2
146,45,77,2
147,46,16,1
148,46,67,1
149,46,149,2
150,47,8,1
151,47,46,2
152,47,49,1
153,47,110,1
154,48,148,3
155,48,95,3
156,48,56,1
157,48,48,3
158,49,23,2
159,49,43,2
160,49,66,2
161,50,24,1
162,50,35,1
163,50,67,3
164,50,133,1
165,51,65,3
166,51,119,3
167,51,18,3
168,51,127,3
169,52,111,2
170,52,64,2
171,52,42,1
172,52,35,1
173,53,11,1
174,53,118,1
175,54,4,1
176,54,16,2
177,54,24,2
178,54,128,2
179,55,11,2
180,55,82,3
181,55,119,3
182,56,117,2
183,56,63,1
184,56,21,1
185,56,31,1
186,57,39,2
187,57,100,1
188,58,14,2
189,58,17,2
190,58,77,1
191,58,133,1
192,59,53,1
193,59,97,1
194,59,129,1
195,60,117,3
196,60,110,3
197,60,27,1
198,60,3,2
199,60,1,1
200,60,24,1
201,61,86,1
202,61,131,2
203,62,24,3
204,62,97,2
205,63,6,1
206,63,47,2
207,63,131,1
208,63,146,1
209,64,63,1
210,64,24,1
211,65,24,1
212,65,9,3
213,65,12,2
214,66,2,1
215,66,54,1
216,67,53,2
217,67,77,2
218,67,103,1
219,67,148,2
220,68,121,3
221,68,40,1
222,68,128,3
223,69,7,3
224,69,97,3
225,70,82,3
226,70,38,2
227,71,137,3
228,71,5,3
229,71,126,3
230,72,37,3
231,72,58,2
232,72,112,3
233,72,137,1
234,73,9,3
235,73,26,2
236,73,146,2
237,74,44,1
238,74,59,2
239,74,97,1
240,74,110,1
241,75,105,1
242,75,65,3
243,75,31,1
244,75,24,1
245,75,39,1
246,76,32,2
247,76,65,2
248,76,68,1
249,76,71,2
250,77,76,1
251,77,113,1
252,77,146,3
253,77,152,2
254,78,97,1
255,78,65,1
256,78,58,3
257,78,24,3
258,79,24,3
259,79,146,3
260,80,12,3
261,80,40,2
262,80,133,2
263,80,144,1
264,81,6,2
265,81,54,1
266,81,97,1
267,82,112,1
268,82,72,1
269,82,55,1
270,82,40,2
271,82,20,3
272,83,129,1
273,83,140,3
274,84,5,2
275,84,33,1
276,84,73,1
277,84,97,2
278,85,21,1
279,85,50,2
280,85,69,3
281,85,78,2
282,86,147,1
283,86,90,1
284,86,33,3
285,86,8,2
286,87,95,1
287,87,97,1
288,87,144,1
289,88,9,3
290,88,37,2
291,88,101,1
292,89,18,1
293,89,26,2
294,90,134,1
295,90,148,3
296,90,27,2
297,90,102,2
298,91,5,2
299,91,30,3
300,91,31,1
301,91,97,3
302,91,118,1
303,92,31,2
304,92,45,2
305,92,145,2
306,93,97,2
307,93,24,2
308,93,27,2
309,93,65,2
310,93,95,1
311,94,136,3
312,94,11,1
313,95,44,3
314,95,70,3
315,95,115,2
316,96,20,3
317,96,149,2
318,97,47,1
319,97,79,1
320,98,89,2
321,98,141,1
322,99,97,2
323,99,131,1
324,100,145,3
325,100,134,3
326,100,122,3
327,100,111,2
328,101,5,2
329,101,19,1
330,101,30,1
331,101,111,2
332,102,8,1
333,102,81,3
334,102,109,2
335,102,128,1
336,103,31,2
337,103,58,1
338,103,111,2
339,104,142,1
340,104,75,1
341,104,33,3
342,104,74,3
343,105,17,1
344,105,61,2
345,106,5,2
346,106,11,3
347,106,61,3
348,106,66,1
349,107,47,2
350,107,97,1
351,107,114,3
352,107,133,1
353,108,5,3
354,108,87,2
355,109,46,3
356,109,41,2
357,110,63,3
358,110,89,3
359,111,5,3
360,111,13,3
361,111,123,3
362,111,139,1
363,112,11,1
364,112,38,2
365,112,99,3
366,112,113,1
367,112,151,1
368,113,24,1
369,113,19,3
370,113,5,3
371,113,1,2
372,114,24,3
373,114,71,1
374,114,117,3
375,115,12,2
376,115,51,2
377,115,60,2
378,115,70,1
379,116,51,2
380,116,97,2
381,116,133,3
382,116,145,2
383,117,105,1
384,117,87,2
385,117,34,3
386,117,72,2
387,118,18,2
388,118,28,3
389,118,63,1
390,118,125,2
391,119,23,3
392,119,75,3
393,120,46,2
394,120,80,1
395,121,100,2
396,121,143,1
397,121,62,1
398,121,5,2
399,122,50,2
400,122,83,1
401,122,106,3
402,122,110,3
403,123,5,1
404,123,88,1
405,123,124,2
406,124,61,3
407,124,129,2
408,124,19,1
409,124,33,2
410,125,16,3
411,125,47,2
412,125,146,1
413,126,13,1
414,126,52,1
415,126,70,2
416,127,44,1
417,127,87,3
418,127,111,1
419,127,139,2
420,128,97,3
421,128,66,1
422,128,5,2
423,128,55,1
424,129,56,1
425,129,118,3
426,129,135,1
427,129,143,2
428,130,134,2
429,130,22,3
430,130,24,3
431,130,32,3
432,131,60,2
433,131,13,1
434,131,2,2
435,132,31,3
436,132,120,3
437,133,119,3
438,133,76,2
439,133,97,1
440,134,64,3
441,134,119,1
442,134,5,2
443,134,125,3
444,135,91,2
445,135,70,2
446,136,101,1
447,136,102,1
448,136,4,2
449,136,11,1
450,136,109,1
451,137,119,1
452,137,136,1
453,137,92,3
454,137,11,2
455,137,71,1
456,137,72,1
457,138,17,2
458,138,37,1
459,138,80,1
460,138,147,3
461,139,39,2
462,139,99,3
463,139,107,1
464,140,33,2
465,140,101,1
466,141,114,1
467,141,79,1
468,142,135,1
469,142,146,1
470,143,72,1
471,143,78,3
472,143,88,1
473,143,95,1
474,144,40,3
475,144,55,2
476,144,105,1
477,145,110,3
478,145,24,1
479,146,117,2
480,146,86,3
481,146,16,1
482,146,24,3
483,147,40,3
484,147,97,1
485,148,75,2
486,148,89,1
487,148,140,1
488,149,118,3
489,149,144,3
490,150,119,1
491,150,8,3
492,150,63,2
493,151,31,3
494,151,24,1
495,151,16,2
496,152,60,3
497,152,85,1
498,153,33,2
499,153,148,3
500,154,3,1
501,154,45,1
502,154,66,1
503,155,82,3
504,155,31,1
505,155,86,1
506,155,22,3
507,155,24,1
508,155,120,3
509,156,97,3
510,156,67,2
511,157,42,3
512,157,148,3
513,158,1,3
514,158,68,2
515,158,116,3
516,158,126,3
517,159,132,3
518,159,137,1
519,159,126,1
520,159,102,1
521,159,75,2
522,159,113,1
523,160,5,3
524,160,27,3
525,160,31,1
526,160,97,3
527,160,113,2
528,161,91,1
529,161,4,1
530,161,31,1
531,161,97,2
532,162,150,1
533,162,119,1
534,162,135,2
535,162,32,3
536,162,6,2
537,162,93,2
538,163,44,3
539,163,74,2
540,164,33,1
541,164,114,2
542,165,113,1
543,165,142,3
544,166,27,2
545,166,33,3
546,166,37,1
547,166,49,2
548,167,112,1
549,167,55,3
550,168,5,3
551,168,58,2
552,168,67,1
553,168,133,3
554,169,29,1
555,169,40,1
556,169,81,2
557,169,111,3
558,169,131,2
559,169,150,3
560,170,33,3
561,170,119,2
562,171,31,3
563,171,66,1
564,171,6,1
565,172,6,1
566,172,5,2
567,173,1,2
568,173,33,2
569,173,136,2
570,174,60,1
571,174,94,3
572,174,116,3
573,174,128,1
574,175,131,1
575,175,145,2
576,176,24,1
577,176,114,1
578,176,138,2
579,176,144,3
580,177,97,1
581,177,65,2
582,178,45,2
583,178,140,2
584,179,119,2
585,179,135,1
586,180,28,3
587,180,56,2
588,180,65,1
589,180,69,2
590,181,11,3
591,181,146,2
592,182,146,1
593,182,130,2
594,182,75,1
595,182,79,2
596,182,108,1
597,183,41,3
598,183,107,1
599,184,26,1
600,184,45,2
601,184,104,1
602,184,145,1
603,185,49,2
604,185,119,1
605,186,42,2
606,186,24,2
607,186,22,2
608,186,20,1
609,187,9,3
610,187,96,1
611,188,24,3
612,188,97,3
613,188,114,2
614,188,130,3
615,189,117,3
616,189,5,1
617,189,6,2
618,190,119,2
619,190,143,3
620,190,104,1
