cust_id,name,phone,address,city,province
1,PT Nuraini Tbk,(070) 602-8828,Gang Tebet Barat Dalam No. 5,Bekasi,Jawa Barat
2,PT Hariyah,(0130) 156 5916,Gg. Ciwastra No. 3,Bekasi,Jawa Barat
3,CV Farida Budiman Tbk,081 016 2783,Gg. Kiaracondong No. 217,Jakarta Timur,Jakarta
4,Perum Firmansyah (Persero) Tbk,+62-034-551-1097,Jalan Antapani Lama No. 256,Jakarta Pusat,Jakarta
5,PD Saefullah Lestari Tbk,(0208) 127 0881,Gang Rajawali Barat No. 152,Jakarta Barat,Jakarta
6,Perum Adriansyah Saputra,0894221501,Jalan Ronggowarsito No. 873,Jakarta Timur,Jakarta
7,PD Prasetya,+62 (081) 511-6529,Jl. Rungkut Industri No. 38,Bekasi,Jawa Barat
8,PD Mansur Riyanti (Persero) Tbk,+62 (902) 489 8597,Jl. Gegerkalong Hilir No. 979,Jakarta Timur,Jakarta
9,PD Latupono Samosir (Persero) Tbk,(099) 216-3171,Jl. Cikutra Timur No. 75,Jakarta Barat,Jakarta
10,PT Budiyanto Tbk,+62-06-726-5260,Gg. Kapten Muslihat No. 05,Tangerang Selatan,Banten
11,PT Novitasari Winarno Tbk,+62 (0957) 708-9118,Gang Ciumbuleuit No. 22,Depok,Jawa Barat
12,PT Nainggolan Mulyani (Persero) Tbk,+62-099-843-3991,Gg. M.H Thamrin No. 5,Jakarta Barat,Jakarta
13,Perum Sitorus Tampubolon (Persero) Tbk,+62 (0462) 159 6542,Jalan Antapani Lama No. 2,Jakarta Timur,Jakarta
14,Perum Wacana,+62-635-135-5048,Jalan Sukajadi No. 1,Bekasi,Jawa Barat
15,UD Uwais Palastri (Persero) Tbk,+62-068-350-3355,Gang Cikutra Timur No. 5,Tangerang Selatan,Banten
16,Perum Kusmawati Widodo,(008) 384-5089,Jl. Merdeka No. 0,Jakarta Pusat,Jakarta
17,UD Rajata,(0998) 652 2412,Jalan Yos Sudarso No. 1,Depok,Jawa Barat
18,CV Handayani Ardianto (Persero) Tbk,+62 (370) 443 8732,Gg. Cikapayang No. 070,Bogor,Jawa Barat
19,CV Safitri Tbk,+62-594-395-1933,Jl. Ciwastra No. 7,Bekasi,Jawa Barat
20,PT Suryono Mustofa Tbk,(0477) 071-7292,Gg. M.T Haryono No. 71,Depok,Jawa Barat
21,PD Hardiansyah,+62-473-406-4283,Gang Laswi No. 0,Jakarta Timur,Jakarta
22,PT Irawan,(0594) 034 4653,Jalan Joyoboyo No. 36,Bekasi,Jawa Barat
23,PT Lestari Pradana,0807546319,Gang Monginsidi No. 32,Depok,Jawa Barat
24,CV Agustina Nashiruddin Tbk,(032) 321 2831,Jalan Pasir Koja No. 1,Tangerang,Banten
25,Perum Najmudin (Persero) Tbk,(019) 011 1576,Gang Jend. A. Yani No. 355,Jakarta Barat,Jakarta
26,CV Widodo Hasanah (Persero) Tbk,(0283) 429-0461,Jl. Indragiri No. 148,Jakarta Selatan,Jakarta
27,PD Firmansyah Sitompul,+62-59-962-5955,Gg. Kutisari Selatan No. 5,Jakarta Barat,Jakarta
28,Perum Santoso Wibisono,(0638) 908 0532,Jl. Peta No. 33,Tangerang Selatan,Banten
29,PD Prasetya (Persero) Tbk,+62-0264-288-5963,Jl. Cikapayang No. 48,Depok,Jawa Barat
30,PD Safitri Rahayu Tbk,(040) 367 2311,Jl. Jend. Sudirman No. 63,Bogor,Jawa Barat
31,PT Hariyah (Persero) Tbk,+62 (0514) 682-4868,Gang KH Amin Jasuta No. 7,Jakarta Barat,Jakarta
32,CV Nuraini (Persero) Tbk,+62 (72) 503 3392,Jalan Monginsidi No. 85,Depok,Jawa Barat
33,PD Zulkarnain Novitasari Tbk,(022) 303 6512,Gang Ahmad Yani No. 290,Jakarta Pusat,Jakarta
34,CV Januar,+62 (02) 929-1268,Jalan Ciumbuleuit No. 453,Bekasi,Jawa Barat
35,PT Ramadan (Persero) Tbk,084 918 4253,Gg. Jend. Sudirman No. 451,Jakarta Barat,Jakarta
36,CV Usada Tbk,(0066) 891 7955,Gang Pasir Koja No. 8,Jakarta Utara,Jakarta
37,PT Safitri Tbk,+62 (39) 138-8828,Jalan Rawamangun No. 90,Tangerang,Banten
38,Perum Megantara Hidayat,+62 (0965) 632 1526,Gang Rawamangun No. 3,Jakarta Timur,Jakarta
39,UD Sihombing Namaga (Persero) Tbk,(084) 030 3140,Jl. Jend. Sudirman No. 0,Bekasi,Jawa Barat
40,PT Sudiati Budiman,+62 (0095) 417 0263,Gg. Gegerkalong Hilir No. 526,Tangerang,Banten
41,PD Najmudin Fujiati Tbk,+62 (015) 387 9255,Jl. Kapten Muslihat No. 53,Jakarta Utara,Jakarta
42,CV Aryani Hutagalung,+62 (072) 078-4275,Jalan Pelajar Pejuang No. 5,Jakarta Barat,Jakarta
43,CV Saptono Damanik,+62 (64) 852-6576,Gg. Merdeka No. 47,Depok,Jawa Barat
44,UD Mustofa (Persero) Tbk,0800630856,Jl. Jamika No. 4,Jakarta Pusat,Jakarta
45,PD Haryanti Zulaika Tbk,+62-0741-891-0590,Jalan Joyoboyo No. 82,Jakarta Timur,Jakarta
46,PT Laksita Setiawan (Persero) Tbk,+62 (15) 499-8341,Gang Sadang Serang No. 7,Depok,Jawa Barat
47,Perum Marpaung Prakasa,+62 (782) 391 5060,Gg. Cikutra Timur No. 8,Jakarta Selatan,Jakarta
48,CV Dongoran,+62 (0601) 502 1742,Jl. Moch. Toha No. 20,Tangerang Selatan,Banten
